Id,Name,ListHeaderId,Item,Uprice,Uom,MinQty,MaxQty,StartDateActive,CreatedAt,UpdatedAt
17290,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA59241/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:08.7682047,NULL
17359,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA59271/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:08.7682129,NULL
17537,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA50101/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:08.7682346,NULL
17714,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA69223/BXC,33.99,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:20.0934108,NULL
17787,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA73230/BXC,33.99,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:20.0934304,NULL
17970,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA79261/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:20.0934739,NULL
18072,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA79132/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:20.0934901,NULL
18085,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA79147/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:20.0934918,NULL
18139,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA79201/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:20.0934993,NULL
18225,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA69318/BXC,33.99,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:30.4056169,NULL
18306,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA70150/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:30.4056303,NULL
18376,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA70259/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:30.4056452,NULL
18481,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA70326/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:30.4056609,NULL
18694,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA70464/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:30.4056945,NULL
18862,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA73105/BXC,33.99,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:41.0792347,NULL
18900,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA69130/BXC,33.99,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:41.0792456,NULL
19320,INC - ECOMMERCE WEB SALES - MTO,2407721,PCTA79344/BXC,32.89,LBS,25,99999,11/01/2022 00:00:00,2025-02-22 08:44:52.7172611,NULL
